#{"t_start": 1781107423.8606565, "env_id": "None"}
r,l,t
-252.842841,200,0.992512
-260.894411,200,1.096348
-231.309692,200,1.175709
-255.391828,200,1.265122
-264.077042,200,1.352005
-283.700977,200,1.443594
-275.883285,200,1.556442
-237.69721,200,1.668915
-259.375231,200,1.781087
-219.198255,200,1.878619
-242.45269,200,2.760597
-261.624883,200,2.853741
-228.715983,200,2.942474
-281.149453,200,3.030624
-237.67221,200,3.124614
-288.001558,200,3.216689
-243.750089,200,3.308321
-236.575669,200,3.398382
-252.771281,200,3.48931
-244.666168,200,3.572561
-257.561755,200,4.337476
-245.507741,200,4.437507
-225.944343,200,4.552943
-247.652974,200,4.669472
-227.337643,200,4.787245
-189.780725,200,4.900852
-245.28581,200,5.019862
-220.659772,200,5.112496
-222.686466,200,5.204664
-221.037126,200,5.291107
-229.980609,200,6.20156
-200.512199,200,6.296801
-210.011077,200,6.395864
-250.359417,200,6.492124
-228.870372,200,6.59105
-258.495833,200,6.684284
-206.615873,200,6.770536
-245.700816,200,6.862457
-233.488032,200,6.963945
-236.737247,200,7.080659
-220.274943,200,8.140977
-219.107661,200,8.231971
-224.826988,200,8.322612
-201.994883,200,8.410791
-196.662055,200,8.491911
-234.399381,200,8.583492
-223.234414,200,8.675798
-223.982869,200,8.777068
-219.001621,200,8.861678
-196.63917,200,8.948838
-212.131476,200,9.040733
-208.662498,200,9.800129
-182.895257,200,9.893642
-175.890201,200,9.985624
-207.307207,200,10.075938
-209.468117,200,10.166793
-185.716638,200,10.250558
-216.314125,200,10.332628
-232.446608,200,10.426251
-171.554113,200,10.520861
-173.745768,200,10.607703
-187.670643,200,11.696765
-199.277623,200,11.810869
-204.707844,200,11.924844
-198.256476,200,12.03954
-187.360523,200,12.154096
-184.873137,200,12.269101
-205.499692,200,12.384246
-202.601883,200,12.49948
-189.090635,200,12.616985
-199.925084,200,12.732084
-198.213377,200,13.767198
-191.873277,200,13.859907
-197.222859,200,13.950699
-206.730029,200,14.040823
-193.905287,200,14.124285
-165.095395,200,14.210287
-197.658382,200,14.287593
-168.841608,200,14.374422
-222.436292,200,14.455383
-204.430951,200,14.540262
-182.022611,200,15.271034
-161.535921,200,15.361941
-174.045805,200,15.466494
-186.165342,200,15.559624
-179.89771,200,15.649129
-197.412989,200,15.754936
-193.444196,200,15.856605
-201.190375,200,15.946158
-179.780495,200,16.045335
-196.472229,200,16.144672
-169.041511,200,16.224144
-189.338519,200,16.96471
-203.110645,200,17.077308
-173.634257,200,17.194856
-183.489098,200,17.309916
-167.613734,200,17.425805
-150.457709,200,17.512775
-179.337455,200,17.598556
-178.402142,200,17.682534
-187.710281,200,17.767506
-183.144607,200,17.853476
-174.862336,200,18.930083
-181.806172,200,19.015286
-163.817467,200,19.102038
-174.444181,200,19.18965
-180.187713,200,19.282206
-169.612781,200,19.374544
-152.765664,200,19.453197
-168.612909,200,19.54141
-174.487248,200,19.622709
-172.68837,200,19.710483
-189.626109,200,20.465783
-187.452869,200,20.559856
-164.071431,200,20.653974
-175.985826,200,20.752468
-196.610368,200,20.863664
-177.461994,200,20.955389
-148.774551,200,21.040249
-166.721472,200,21.131458
-180.683942,200,21.224437
-179.072627,200,21.317252
-177.328194,200,22.086636
-171.764355,200,22.174018
-169.997947,200,22.258081
-188.183016,200,22.34177
-191.509392,200,22.427473
-167.098693,200,22.509194
-171.058246,200,22.586257
-162.534886,200,22.669654
-165.684645,200,22.756773
-161.139956,200,22.842429
-161.341857,200,22.927912
-156.372198,200,23.708894
-180.14412,200,23.794255
-174.10004,200,23.881772
-162.580557,200,23.967458
-181.962277,200,24.055063
-166.068083,200,24.148027
-169.928628,200,24.250031
-206.361146,200,24.368111
-191.301803,200,24.486139
-165.20599,200,24.60421
-161.254154,200,25.71581
-159.755604,200,25.828844
-145.607155,200,25.940916
-155.17104,200,26.053463
-170.881172,200,26.170097
-170.509738,200,26.290444
-179.401034,200,26.408982
-174.159352,200,26.526136
-142.221556,200,26.643635
-183.331821,200,26.734198
-150.993949,200,27.520501
-166.240337,200,27.606543
-181.449022,200,27.691861
-160.157922,200,27.780875
-190.624914,200,27.866309
-164.317562,200,27.951489
-167.510047,200,28.039399
-159.654202,200,28.119886
-170.214742,200,28.204521
-158.155298,200,28.290033
-157.826851,200,29.067913
-160.906019,200,29.158235
-163.649512,200,29.245389
-155.170725,200,29.33814
-162.481001,200,29.42241
-163.029032,200,29.509398
-163.829273,200,29.588344
-182.588444,200,29.679127
-189.772141,200,29.768042
-168.839013,200,29.860294
-165.097517,200,29.950171
-156.294257,200,30.746737
-171.131304,200,30.855828
-160.542356,200,30.964853
-149.402972,200,31.054325
-164.502273,200,31.138121
-186.921971,200,31.220429
-164.461081,200,31.307982
-176.371881,200,31.430864
-167.825545,200,31.567476
-163.059544,200,31.687958
-173.818975,200,32.778167
-154.512108,200,32.895988
-177.953495,200,33.01488
