#{"t_start": 1781107353.9547772, "env_id": "None"}
r,l,t
-239.96914,200,1.1009
-240.269144,200,1.198247
-280.54609,200,1.297575
-265.502353,200,1.391562
-241.671728,200,1.475575
-231.980927,200,1.563665
-267.814002,200,1.649293
-245.325045,200,1.73937
-288.272185,200,1.855582
-304.568356,200,2.00455
-280.652118,200,2.112292
-275.572894,200,2.210153
-293.378342,200,2.319137
-248.480229,200,2.426445
-207.453974,200,2.534626
-262.516751,200,2.623591
-293.979952,200,2.726815
-247.870341,200,2.826694
-218.458419,200,2.928178
-258.694494,200,3.032966
-243.424395,200,3.141291
-236.697089,200,3.24063
-260.377974,200,3.34514
-240.696769,200,3.445657
-239.308203,200,3.548651
-230.286821,200,3.654309
-249.999575,200,3.754309
-275.449859,200,3.84773
-233.488807,200,3.944947
-225.83317,200,4.041023
-245.15652,200,4.134903
-260.015818,200,4.228297
-276.984949,200,4.325555
-302.933644,200,4.423305
-261.234652,200,4.517383
-251.737183,200,4.629826
-247.230814,200,4.754829
-204.442628,200,4.873609
-218.625415,200,4.960517
-277.75787,200,5.062006
-225.094735,200,5.19522
-233.762039,200,5.328518
-188.346635,200,5.471094
-202.938242,200,5.602808
-253.046683,200,5.730666
-198.461318,200,5.848373
-206.835691,200,5.964425
-272.998467,200,6.066594
-231.094802,200,6.164227
-262.640945,200,6.268
-224.758546,200,6.370012
-223.769584,200,6.468412
-234.253293,200,6.566435
-230.478193,200,6.676698
-275.42681,200,6.806343
-260.314818,200,6.945885
-298.718646,200,7.069295
-210.730684,200,7.184077
-204.992468,200,7.299469
-215.474029,200,7.398881
-234.471395,200,7.499948
-235.913172,200,7.611113
-258.792689,200,7.723012
-240.356738,200,7.834147
-249.722894,200,7.932537
-255.624913,200,8.036762
-261.189059,200,8.137777
-246.775699,200,8.240823
-278.821235,200,8.398675
-224.088105,200,8.541328
-248.445334,200,8.683325
-229.525844,200,8.826202
-281.262209,200,8.962318
-297.103468,200,9.095887
-236.462679,200,9.234743
-304.014526,200,9.369155
-236.747915,200,9.513054
-248.962616,200,9.651852
-245.830927,200,9.774746
-243.59328,200,9.877585
-285.437475,200,9.980697
-254.827264,200,10.116181
-248.039433,200,10.251221
-213.512299,200,10.348791
-264.723029,200,10.469818
-241.621777,200,10.592036
-235.640417,200,10.708115
-205.547739,200,10.821534
-220.419151,200,10.936801
-208.172946,200,11.079036
-293.792664,200,11.213995
-235.518127,200,11.346808
-243.573105,200,11.450649
-221.422531,200,11.554503
-257.469122,200,11.656138
-226.977478,200,11.753906
-264.444603,200,11.85976
-217.900315,200,11.968446
-273.127147,200,12.074723
