#{"t_start": 1781107124.5385375, "env_id": "None"}
r,l,t
-241.219028,200,0.984767
-307.554925,200,1.070789
-236.882683,200,1.163759
-224.503254,200,1.268159
-256.975771,200,1.363323
-245.45528,200,1.451853
-294.547473,200,1.543533
-238.943741,200,1.641358
-247.845667,200,1.73274
-257.744,200,1.824954
-278.743975,200,1.918787
-205.634793,200,2.018146
-280.120164,200,2.116683
-215.949415,200,2.226956
-212.650956,200,2.365474
-227.899669,200,2.480718
-216.910192,200,2.592169
-274.375484,200,2.707602
-255.285507,200,2.819796
-223.901675,200,2.935064
-223.652712,200,3.040377
-235.745315,200,3.139275
-256.142217,200,3.238476
-212.819474,200,3.341419
-217.136657,200,3.452114
-262.834169,200,3.587175
-233.085314,200,3.732987
-244.179746,200,3.872394
-264.247239,200,4.018238
-236.800722,200,4.165073
-250.961141,200,4.313102
-261.155019,200,4.452192
-237.831515,200,4.569085
-241.351874,200,4.66778
-254.120817,200,4.787804
-207.818444,200,4.941464
-230.617822,200,5.078033
-288.676648,200,5.210394
-243.753776,200,5.352031
-236.790214,200,5.46643
-249.284315,200,5.584052
-199.987809,200,5.689777
-259.614009,200,5.783595
-233.769097,200,5.896864
-214.326348,200,6.045378
-211.58503,200,6.188484
-226.95752,200,6.33273
-240.604849,200,6.475101
-250.813612,200,6.618603
-228.877588,200,6.76154
-239.782975,200,6.912355
-232.5094,200,7.061309
-228.479641,200,7.20958
-214.783648,200,7.351988
-245.116236,200,7.490808
-239.155252,200,7.630229
-200.709666,200,7.777478
-278.510329,200,7.925117
-281.887069,200,8.072612
-258.146296,200,8.214401
-256.289125,200,8.358486
-229.937366,200,8.490727
-213.475426,200,8.593669
-206.545219,200,8.700722
-191.411414,200,8.818637
-247.133324,200,8.939679
-216.157869,200,9.062355
-256.369266,200,9.181263
-241.730097,200,9.303814
-250.417781,200,9.423126
-259.898149,200,9.540184
-224.72271,200,9.65088
-229.383893,200,9.777181
-220.312425,200,9.897209
-214.803631,200,9.99643
-228.352292,200,10.088735
-213.080953,200,10.192152
-230.315342,200,10.291119
-221.47803,200,10.406432
-251.704101,200,10.503829
-252.164666,200,10.59968
-212.373178,200,10.713417
-206.23574,200,10.850259
-222.288136,200,10.998549
-234.402253,200,11.137485
-224.506331,200,11.286084
-216.729975,200,11.40194
-229.523111,200,11.523061
-238.32808,200,11.642709
-195.589221,200,11.767501
-201.77672,200,11.873987
-243.032013,200,12.009444
-229.741668,200,12.167114
-216.483258,200,12.304808
-214.963355,200,12.405455
-217.123559,200,12.521671
-207.735018,200,12.619965
-198.190398,200,12.7328
-205.658399,200,12.836601
-202.961463,200,12.977309
-225.615315,200,13.122768
-178.760347,200,13.265048
-174.898311,200,13.384073
-198.551514,200,13.505466
-218.975966,200,13.643017
-227.4181,200,13.737954
-228.8509,200,13.85027
-203.119587,200,13.998709
-222.652627,200,14.141097
-218.764065,200,14.286476
-212.60773,200,14.428234
-206.74614,200,14.571691
-174.00239,200,14.699332
-226.48107,200,14.845865
-163.042706,200,15.010413
-230.524882,200,15.168989
-208.534571,200,15.323359
-221.911447,200,15.480925
-219.584791,200,15.630949
-189.193832,200,15.781049
-233.651006,200,15.92509
-203.709317,200,16.069424
-204.640722,200,16.214402
-230.330446,200,16.350832
-222.063506,200,16.488086
-242.665875,200,16.598559
-214.94772,200,16.719679
-209.443515,200,16.838575
-189.124612,200,16.943055
-179.709774,200,17.099429
-200.9053,200,17.249529
-248.524888,200,17.395717
-231.30442,200,17.551818
-199.744996,200,17.707077
-220.201671,200,17.850658
-220.608921,200,17.998603
-174.779074,200,18.128424
-184.012674,200,18.244012
-210.775988,200,18.395937
-190.946642,200,18.557242
-227.583392,200,18.72503
-232.795019,200,18.882819
-180.031931,200,19.032873
-211.202583,200,19.205386
-224.614236,200,19.343688
-174.012595,200,19.456723
-205.855855,200,19.565314
-208.079567,200,19.677352
-177.684282,200,19.824206
-183.803633,200,19.956785
-182.074978,200,20.078269
-204.586214,200,20.19292
-198.13716,200,20.316729
-194.498519,200,20.449611
-257.926959,200,20.571844
-207.114229,200,20.699013
-210.869898,200,20.812026
-192.856935,200,20.940907
-194.574065,200,21.055393
-208.879279,200,21.161708
-202.88192,200,21.259706
-226.954908,200,21.37875
-198.751303,200,21.490051
-196.602606,200,21.592311
-185.645881,200,21.721595
-181.885881,200,21.854256
-182.017886,200,21.991232
-191.479329,200,22.134666
-207.436138,200,22.281907
-224.879899,200,22.405872
-193.024223,200,22.524195
-236.020293,200,22.634394
-215.397893,200,22.737886
-181.03915,200,22.855623
-199.937184,200,22.976414
-215.786288,200,23.094344
-175.552552,200,23.214643
-193.788414,200,23.343713
-202.888713,200,23.481698
-188.903935,200,23.627556
-181.591185,200,23.739857
-181.011854,200,23.850451
-196.978051,200,23.974402
-187.116362,200,24.077465
