#{"t_start": 1781107670.5066447, "env_id": "None"}
r,l,t
-259.199092,200,1.15451
-283.854942,200,1.276444
-271.739224,200,1.412776
-242.690934,200,1.544862
-263.693203,200,1.677519
-264.257717,200,1.810794
-263.315491,200,1.938795
-230.52844,200,2.056034
-289.45259,200,2.181927
-257.096403,200,2.30964
-200.453945,200,2.437943
-214.843731,200,2.560644
-241.053624,200,2.686657
-210.098819,200,2.814405
-240.230361,200,2.940108
-213.395517,200,3.071024
-262.664317,200,3.195197
-219.059264,200,3.323044
-243.953138,200,3.425098
-210.798953,200,3.529548
-234.045057,200,3.656045
-205.685467,200,3.784439
-226.21874,200,3.911913
-242.527733,200,4.044777
-257.07326,200,4.138608
-240.201631,200,4.230216
-233.463993,200,4.321523
-235.832271,200,4.417578
-219.245322,200,4.517085
-243.910046,200,4.60688
-200.722981,200,4.699361
-249.118299,200,4.792346
-235.708893,200,4.888317
-238.122193,200,4.983056
-223.65546,200,5.093724
-206.24227,200,5.188299
-203.274176,200,5.292432
-241.229293,200,5.398052
-226.207083,200,5.502783
-243.694652,200,5.608374
-233.31469,200,5.714841
-215.189111,200,5.818083
-253.651589,200,5.92399
-212.239333,200,6.027571
-234.153989,200,6.12607
-207.561867,200,6.219299
-213.253952,200,6.314288
-195.508742,200,6.407846
-226.617483,200,6.503069
-277.586236,200,6.593648
-241.348721,200,6.692965
-216.941438,200,6.793296
-210.882813,200,6.894412
-216.668461,200,6.99054
-235.047931,200,7.09182
-223.661733,200,7.191316
-195.974302,200,7.289487
-226.481875,200,7.383745
-201.117658,200,7.490208
-255.627417,200,7.594299
-205.484905,200,7.713471
-234.800253,200,7.850662
-223.921168,200,7.960086
-210.069268,200,8.088018
-227.003223,200,8.213657
-225.038926,200,8.326378
-224.537843,200,8.424633
-227.105698,200,8.527295
-171.572721,200,8.659655
-206.9869,200,8.796682
-236.755307,200,8.913403
-253.457699,200,9.007538
-209.003021,200,9.119337
-185.537538,200,9.212647
-246.512828,200,9.324083
-238.928814,200,9.423889
-225.461814,200,9.570895
-199.528196,200,9.712241
-206.879458,200,9.853998
-256.535481,200,9.992255
-202.12882,200,10.108607
-209.740968,200,10.192524
-188.298703,200,10.279596
-208.094752,200,10.367418
-214.109865,200,10.462708
-221.016732,200,10.559926
-179.358404,200,10.693215
-202.212035,200,10.78625
-234.760514,200,10.890318
-218.118881,200,11.027535
-218.363811,200,11.167487
-235.242541,200,11.306126
-202.470519,200,11.436629
-193.2031,200,11.534499
-170.262701,200,11.632337
-211.798198,200,11.735544
-202.784207,200,11.844222
-202.738006,200,11.956569
-183.995503,200,12.068208
-204.026406,200,12.172361
-200.460597,200,12.279029
-198.286089,200,12.386277
-186.671736,200,12.496874
-193.506607,200,12.601446
-185.398059,200,12.710815
-196.174851,200,12.821605
-201.889099,200,12.9263
-192.342541,200,13.042566
-177.260748,200,13.149964
-201.74702,200,13.25807
-197.597296,200,13.363158
-189.264383,200,13.462082
-183.029286,200,13.564645
-172.274833,200,13.667509
-197.467101,200,13.799586
-169.688942,200,13.931273
-190.547516,200,14.086166
-184.983056,200,14.226125
-191.790008,200,14.350371
-222.254761,200,14.46399
-182.073092,200,14.581495
-188.414623,200,14.695327
-182.590192,200,14.806506
-177.538918,200,14.929275
-183.211952,200,15.075649
-206.703643,200,15.22489
-167.303213,200,15.37582
-191.090109,200,15.530149
-179.837113,200,15.676149
-148.209737,200,15.830595
-194.259994,200,15.959271
-202.793707,200,16.060552
-187.783723,200,16.171269
-142.947888,200,16.267046
-182.073171,200,16.374066
-190.93339,200,16.494405
-159.875852,200,16.630948
-167.031201,200,16.765272
-154.745561,200,16.899993
-151.935186,200,17.034642
-155.163241,200,17.152246
-187.788159,200,17.288024
-150.670447,200,17.416282
-163.359066,200,17.542058
-181.19896,200,17.656405
-168.911673,200,17.803218
-180.505579,200,17.965455
-158.377338,200,18.124578
-168.974465,200,18.281683
-153.153547,200,18.438382
-142.246997,200,18.603257
-165.159048,200,18.777235
-158.702095,200,18.943785
-161.081938,200,19.072638
-149.92929,200,19.182687
-190.419292,200,19.301176
-196.556006,200,19.412536
-160.409112,200,19.530405
-158.343463,200,19.640813
-168.362594,200,19.762347
-146.378519,200,19.881145
-138.791521,200,19.995861
-169.672231,200,20.131996
-186.391945,200,20.283257
