#{"t_start": 1781107670.4747484, "env_id": "None"}
r,l,t
-229.724683,200,1.166441
-263.453016,200,1.290209
-238.747507,200,1.424829
-242.709985,200,1.53937
-235.28164,200,1.664948
-240.934579,200,1.790226
-279.645484,200,1.910525
-285.866823,200,2.036906
-216.888248,200,2.134479
-241.938392,200,2.219088
-253.315538,200,2.298593
-228.655227,200,2.378882
-199.545783,200,2.502663
-218.767198,200,2.620156
-286.336908,200,2.732863
-235.399065,200,2.86826
-268.141896,200,2.98626
-223.711232,200,3.081293
-298.065307,200,3.174152
-257.440606,200,3.264031
-250.715673,200,3.355616
-258.610572,200,3.455856
-263.564031,200,3.566914
-247.449293,200,3.69202
-255.403306,200,3.787838
-233.720916,200,3.904297
-268.886613,200,4.031667
-277.307043,200,4.15396
-225.295835,200,4.237171
-237.400584,200,4.32161
-253.869249,200,4.407755
-228.453978,200,4.501011
-270.970507,200,4.588947
-214.24849,200,4.674339
-260.494009,200,4.767884
-259.396781,200,4.853719
-254.26574,200,4.947906
-235.340464,200,5.039927
-201.728135,200,5.141562
-276.995766,200,5.227029
-217.432466,200,5.317469
-220.472817,200,5.409507
-234.930848,200,5.514576
-254.696077,200,5.614326
-235.07876,200,5.713721
-238.320348,200,5.847326
-199.106151,200,5.980881
-210.40593,200,6.117461
-219.555254,200,6.259086
-244.983728,200,6.400946
-211.035051,200,6.537403
-196.586844,200,6.671579
-199.077196,200,6.808425
-212.600969,200,6.954196
-221.504429,200,7.104461
-252.296849,200,7.251996
-151.884527,200,7.391253
-225.698608,200,7.530582
-248.049425,200,7.653091
-210.303782,200,7.761183
-180.13943,200,7.900937
-215.811412,200,8.040972
-230.367602,200,8.168285
-204.683916,200,8.304644
-252.15601,200,8.403197
-210.25186,200,8.505424
-209.303645,200,8.636601
-209.192051,200,8.749227
-209.982819,200,8.857321
-218.340541,200,8.987885
-212.684962,200,9.131616
-279.435819,200,9.252959
-206.425882,200,9.362029
-216.162235,200,9.468954
-219.228756,200,9.606914
-207.557484,200,9.704588
-181.877483,200,9.811714
-214.405359,200,9.911002
-208.592604,200,10.012663
-193.535977,200,10.115993
-206.26203,200,10.251583
-191.229099,200,10.3634
-214.680556,200,10.455205
-193.109463,200,10.559395
-159.068631,200,10.670299
-218.021288,200,10.815038
-212.008691,200,10.962796
-255.186791,200,11.109969
-184.747407,200,11.255865
-201.908362,200,11.395606
-191.267818,200,11.532023
-203.407983,200,11.667539
-209.828803,200,11.7781
-201.143688,200,11.874935
-196.938783,200,11.975348
-220.952803,200,12.079617
-196.739902,200,12.183715
-190.064319,200,12.280564
-193.223427,200,12.389236
-205.34153,200,12.495386
-189.462886,200,12.606448
-212.379263,200,12.70837
-194.385917,200,12.822551
-176.22763,200,12.932252
-167.881184,200,13.034721
-201.511384,200,13.141117
-187.677206,200,13.245324
-208.237033,200,13.352658
-179.827292,200,13.457096
-169.280874,200,13.56813
-207.108003,200,13.674096
-207.341084,200,13.781986
-214.525072,200,13.893674
-181.303701,200,14.005802
-199.852201,200,14.111383
-197.423388,200,14.22333
-159.057241,200,14.345502
-171.26381,200,14.455862
-169.673598,200,14.57082
-190.511246,200,14.679595
-163.365204,200,14.817587
-191.069056,200,14.964863
-159.935146,200,15.083854
-189.314874,200,15.239832
-189.138301,200,15.394723
-170.603884,200,15.54724
-179.638803,200,15.699444
-175.021246,200,15.846857
-198.631979,200,16.006466
-161.087076,200,16.160524
-166.766131,200,16.311214
-183.386463,200,16.465368
-234.116333,200,16.618443
-182.408125,200,16.79854
-187.121312,200,16.97621
-170.561114,200,17.12307
-190.910208,200,17.22902
-160.173718,200,17.335738
-177.418966,200,17.479933
-181.968786,200,17.628066
-177.234125,200,17.762876
-212.326273,200,17.911146
-203.642254,200,18.027036
-138.45574,200,18.144504
-158.900217,200,18.309819
-179.318163,200,18.486428
-160.305919,200,18.642892
-135.215781,200,18.795799
-155.456364,200,18.961277
-142.773598,200,19.124475
-182.348012,200,19.297213
-189.472103,200,19.449882
-157.825876,200,19.595183
-173.210797,200,19.74625
-167.497482,200,19.908512
-185.177243,200,20.071769
-170.86416,200,20.200695
-176.77038,200,20.31043
-160.631843,200,20.462795
-150.81568,200,20.589736
-201.196093,200,20.704304
-185.647776,200,20.820768
-173.207651,200,20.935488
-162.98378,200,21.074149
-147.315632,200,21.229206
-165.172592,200,21.380499
-158.015048,200,21.543727
-183.904809,200,21.703301
-157.935373,200,21.859451
-143.484993,200,22.024819
-174.753536,200,22.193692
-157.053926,200,22.351397
-141.13534,200,22.507362
-174.97127,200,22.637474
-159.333004,200,22.760143
-154.846424,200,22.91127
-133.938994,200,23.04079
-161.702428,200,23.166194
-160.966213,200,23.288076
-141.533143,200,23.394778
-122.780827,200,23.516402
-133.207142,200,23.626426
-163.540041,200,23.747995
-161.055704,200,23.87536
-149.237945,200,23.999633
-126.091992,200,24.142288
-137.364229,200,24.307909
-164.88369,200,24.419584
-156.965877,200,24.560602
-126.436709,200,24.722811
-137.868488,200,24.887341
-154.842258,200,25.020447
-129.075433,200,25.153239
-147.239671,200,25.281896
-127.358609,200,25.410097
-129.88761,200,25.536612
-120.037023,200,25.657984
-138.576427,200,25.796056
-152.248177,200,25.917911
-129.018624,200,26.031948
-146.677599,200,26.14344
-137.379901,200,26.251112
-134.378584,200,26.368158
-144.418845,200,26.486338
-145.277953,200,26.591465
-142.431217,200,26.709642
-146.096252,200,26.844357
-131.402179,200,26.963575
-133.301033,200,27.077901
-135.796383,200,27.196456
-145.83933,200,27.30821
-134.763858,200,27.424833
-142.161365,200,27.546503
-152.561423,200,27.661168
-133.847206,200,27.786441
-144.274738,200,27.917669
-129.287963,200,28.0336
-152.262653,200,28.160831
-138.39998,200,28.272097
-141.260376,200,28.399907
-135.276197,200,28.512911
-140.83985,200,28.638421
-118.032435,200,28.763109
-132.704522,200,28.884843
-141.056181,200,29.010894
-125.62011,200,29.122255
-126.709146,200,29.251542
-138.656102,200,29.381972
-133.46498,200,29.51124
-142.534368,200,29.641699
-136.651682,200,29.781611
-153.581221,200,29.93547
-139.103251,200,30.093719
-155.123465,200,30.249669
-160.153761,200,30.405586
-150.727981,200,30.56582
-144.453493,200,30.72428
-120.666919,200,30.884812
-133.62357,200,31.05408
-127.716763,200,31.215746
-139.90511,200,31.373667
-159.349006,200,31.535471
-152.970729,200,31.696316
-138.543928,200,31.852405
-169.327822,200,31.986928
-138.894829,200,32.108028
-129.688937,200,32.271317
-118.67392,200,32.43707
-147.910528,200,32.597757
-134.108679,200,32.766244
-158.493528,200,32.928019
-128.826265,200,33.090786
-139.251939,200,33.223426
-124.909679,200,33.339696
-126.475238,200,33.452592
-131.972791,200,33.575016
-145.289892,200,33.680382
-144.664507,200,33.838449
-127.375916,200,34.000452
-145.31709,200,34.145967
-135.523445,200,34.314311
-151.028218,200,34.467348
-143.500452,200,34.624023
-132.838701,200,34.785476
-137.268842,200,34.940666
-142.627991,200,35.074392
-141.364331,200,35.233191
-136.787182,200,35.347506
-135.414521,200,35.50427
-139.880731,200,35.681405
-133.51244,200,35.825637
-136.84347,200,35.947949
-139.335287,200,36.056696
-143.092373,200,36.181259
-136.589886,200,36.304183
-154.988036,200,36.428959
-151.105559,200,36.588244
-146.377648,200,36.741483
-131.092376,200,36.91274
-157.452414,200,37.084484
-136.559347,200,37.254723
-146.620437,200,37.419649
-131.741154,200,37.576277
-129.784571,200,37.749418
-146.156082,200,37.901253
-146.04383,200,38.035473
-138.79482,200,38.169323
-146.427935,200,38.286165
-135.404058,200,38.422056
-148.695229,200,38.591489
-135.284653,200,38.786487
-145.722206,200,38.958956
-147.895592,200,39.111783
-144.854129,200,39.268774
-147.889653,200,39.435748
