#{"t_start": 1781127647.902008, "env_id": "None"}
r,l,t
-225.563986,200,0.741163
-259.301611,200,0.804269
-231.050299,200,0.867609
-239.043847,200,0.932232
-231.151589,200,0.998009
-235.025775,200,1.067001
-275.651034,200,1.13341
-279.245612,200,1.201627
-211.895405,200,1.269305
-236.72617,200,1.331798
-248.426369,200,1.394572
-223.774233,200,1.459386
-191.044775,200,1.525459
-214.15514,200,1.591043
-281.609356,200,1.655754
-227.09213,200,1.720904
-261.878355,200,1.78602
-216.512671,200,1.853058
-292.4001,200,1.918544
-252.531671,200,1.980285
-245.269385,200,2.047133
-251.728787,200,2.113171
-257.0421,200,2.180954
-240.752448,200,2.246419
-251.990984,200,2.312257
-229.421546,200,2.378873
-263.318279,200,2.446614
-271.238546,200,2.513401
-219.223069,200,2.581991
-236.409182,200,2.654395
-248.911727,200,2.723594
-223.100756,200,2.790984
-265.21259,200,2.867265
-209.039207,200,2.938417
-252.169707,200,3.004821
-254.324699,200,3.072372
-249.621108,200,3.140889
-231.024265,200,3.209874
-194.232906,200,3.28871
-271.752014,200,3.357176
-212.637762,200,3.424669
-213.472768,200,3.490704
-228.05498,200,3.558566
-248.305339,200,3.624828
-228.843186,200,3.694561
-233.417536,200,3.762034
-193.607822,200,3.829801
-203.232714,200,3.898144
-215.225845,200,3.964116
-240.261585,200,4.028572
-204.366957,200,4.09438
-192.240147,200,4.162321
-193.261822,200,4.22985
-206.312602,200,4.296789
-216.956138,200,4.405625
-243.14547,200,4.475154
-146.117282,200,4.543288
-218.228837,200,4.612702
-242.098543,200,4.68707
-202.821126,200,4.759694
-175.695453,200,4.829102
-208.844933,200,4.902505
-225.637047,200,4.988846
-197.271896,200,5.06196
-242.958109,200,5.133009
-203.996842,200,5.203589
-203.826593,200,5.276045
-201.750448,200,5.349667
-201.381304,200,5.424508
-210.362616,200,5.497583
-205.410916,200,5.572039
-270.728789,200,5.65702
-199.606054,200,5.757656
-207.601283,200,5.857077
-210.929335,200,5.94274
-198.214064,200,6.014553
-172.476776,200,6.099034
-205.404672,200,6.190867
-203.39299,200,6.263904
-188.763815,200,6.341935
-199.248592,200,6.417571
-182.293847,200,6.496061
-205.786767,200,6.580059
-186.427098,200,6.657023
-152.194592,200,6.732028
-209.974904,200,6.809181
-200.665632,200,6.883106
-248.519627,200,6.966175
-176.500457,200,7.049834
-194.196827,200,7.144717
-185.157935,200,7.237994
-195.304734,200,7.327319
-200.691557,200,7.420568
-192.968433,200,7.515579
-190.395927,200,7.597455
-211.648873,200,7.686558
-189.312247,200,7.765476
-183.223718,200,7.842719
-186.543779,200,7.916785
-198.044427,200,7.99036
-182.249595,200,8.069024
-202.713461,200,8.143487
-186.512998,200,8.218946
-168.258727,200,8.294973
-161.393777,200,8.370284
-193.530843,200,8.448474
-180.607356,200,8.524488
-200.685273,200,8.599313
-173.542042,200,8.67242
-162.748199,200,8.745179
-201.506607,200,8.82287
-200.478183,200,8.905643
-205.818438,200,9.001765
-174.728452,200,9.078925
-192.283452,200,9.165583
-190.173539,200,9.259726
-152.111566,200,9.346352
-165.138284,200,9.421933
-162.906429,200,9.507498
-181.465081,200,9.601513
