#{"t_start": 1781107670.2958229, "env_id": "None"}
r,l,t
-268.560993,200,1.137643
-295.756468,200,1.251494
-288.439377,200,1.342349
-257.228246,200,1.463057
-273.110529,200,1.584281
-277.87965,200,1.719835
-275.233166,200,1.851075
-245.587622,200,1.979637
-303.638383,200,2.089923
-271.549952,200,2.183479
-219.916654,200,2.283738
-227.922189,200,2.378378
-261.273673,200,2.471258
-227.095451,200,2.564606
-256.984888,200,2.66379
-225.097654,200,2.756131
-287.320694,200,2.849701
-234.396951,200,2.973135
-260.788891,200,3.095975
-229.503209,200,3.198243
-252.164101,200,3.288914
-221.497301,200,3.380177
-237.468677,200,3.471952
-264.511512,200,3.560536
-264.273779,200,3.658516
-251.636386,200,3.747558
-251.38985,200,3.828197
-244.612458,200,3.925738
-232.78069,200,4.01852
-263.779431,200,4.152732
-213.280781,200,4.286813
-256.66724,200,4.419807
-251.321018,200,4.554288
-257.20129,200,4.690703
-237.010893,200,4.826026
-217.842938,200,4.942958
-213.614925,200,5.040641
-258.494625,200,5.139728
-236.514035,200,5.273441
-254.684805,200,5.407327
-245.276725,200,5.544156
-233.123417,200,5.681178
-271.133368,200,5.823549
-225.365454,200,5.958815
-253.077484,200,6.058349
-221.237833,200,6.153608
-233.672171,200,6.291842
-215.722668,200,6.428327
-245.186288,200,6.563425
-293.9456,200,6.701268
-256.891589,200,6.838575
-225.63718,200,6.977224
-224.959074,200,7.116613
-229.203398,200,7.257064
-248.646565,200,7.396845
-241.121651,200,7.535791
-215.249046,200,7.673924
-242.475463,200,7.81254
-210.310988,200,7.951269
-271.857555,200,8.096086
-219.663492,200,8.243412
-251.264629,200,8.383568
-240.024255,200,8.492011
-223.453939,200,8.590976
-248.336537,200,8.701
-250.379907,200,8.8324
-239.745052,200,8.97074
-245.763739,200,9.124467
-182.28811,200,9.271417
-221.481812,200,9.407821
-252.622742,200,9.547676
-272.905207,200,9.681539
-224.73357,200,9.826649
-199.877427,200,9.962378
-262.376751,200,10.105394
-253.467982,200,10.242959
-248.580115,200,10.384671
-213.911124,200,10.524781
-225.020919,200,10.664178
-282.466157,200,10.801547
-221.383187,200,10.942816
-225.762871,200,11.063365
-204.124817,200,11.172748
-222.830135,200,11.28154
-230.507469,200,11.385453
-237.818126,200,11.488735
-200.877332,200,11.584036
-215.467403,200,11.702699
-255.623094,200,11.84057
-239.309143,200,11.962182
-239.312903,200,12.074921
-265.123586,200,12.190454
-225.974385,200,12.303548
-209.982349,200,12.416984
-191.421196,200,12.528416
-229.692569,200,12.640536
-218.925781,200,12.750443
-222.029705,200,12.842127
-203.508358,200,12.977807
-227.024715,200,13.083239
-219.207235,200,13.192915
-218.847128,200,13.309635
-202.615663,200,13.423154
-210.85791,200,13.540851
-202.875739,200,13.678331
-213.9686,200,13.834436
-213.893729,200,13.990357
-209.803289,200,14.152919
-189.431856,200,14.31681
-222.819595,200,14.434717
-218.591772,200,14.555216
-204.615008,200,14.670724
-205.062982,200,14.789331
-184.815254,200,14.90727
-219.972926,200,15.025574
-193.095165,200,15.129591
-214.162888,200,15.23146
-201.362712,200,15.345209
-209.090851,200,15.450688
-249.001698,200,15.576779
-211.058701,200,15.738455
-209.993302,200,15.86269
-202.933707,200,15.991437
-199.885887,200,16.111693
-199.993006,200,16.222882
-223.102253,200,16.336017
-194.840423,200,16.443245
-210.88545,200,16.556235
-201.865353,200,16.671232
-169.775302,200,16.797328
-214.383339,200,16.904305
-229.017618,200,17.033281
-214.104088,200,17.165276
-158.852306,200,17.2928
-206.85654,200,17.385716
-213.703841,200,17.502343
-177.487864,200,17.61438
-188.225936,200,17.727953
-177.301666,200,17.846995
-172.852427,200,18.015449
-171.15921,200,18.190713
-207.426161,200,18.304077
-161.905822,200,18.423302
-183.765977,200,18.552414
-205.721276,200,18.673004
-194.501095,200,18.783704
-213.380246,200,18.902091
-177.044417,200,19.033849
-192.698495,200,19.175458
-179.395084,200,19.30435
-161.00417,200,19.422852
-188.771104,200,19.536059
-174.82368,200,19.64479
-181.230728,200,19.776284
-170.931604,200,19.895139
-213.660198,200,20.018981
-221.554663,200,20.130243
-181.118557,200,20.284504
-181.084459,200,20.446669
-188.266241,200,20.609231
-159.602131,200,20.762272
-154.92556,200,20.913742
-202.125287,200,21.024769
-214.682368,200,21.163557
-198.65704,200,21.289831
-172.193118,200,21.404226
-195.583872,200,21.541651
-178.476643,200,21.664274
-161.729237,200,21.789477
-178.448836,200,21.927497
-177.866109,200,22.049916
-170.052998,200,22.178594
-160.805027,200,22.290081
-169.690947,200,22.408145
-170.156272,200,22.53379
-182.131856,200,22.647457
-166.637849,200,22.772503
-184.960622,200,22.893686
-186.47654,200,23.038633
-167.617834,200,23.196447
-187.631231,200,23.356409
-188.537798,200,23.521379
-186.189744,200,23.683365
-188.175064,200,23.847304
-204.757073,200,24.023712
-174.671672,200,24.203076
-164.586901,200,24.327367
-166.301963,200,24.450753
-157.576987,200,24.570901
-142.288167,200,24.692372
-165.993131,200,24.809917
-172.166,200,24.944197
-148.120925,200,25.098673
-162.854301,200,25.218508
-143.947184,200,25.342478
-145.860063,200,25.469262
-175.461481,200,25.592138
-192.049102,200,25.717184
-171.346408,200,25.852039
-163.410145,200,25.970338
-167.140249,200,26.091848
-191.450657,200,26.213905
-144.233276,200,26.34703
-161.88831,200,26.501662
-168.778632,200,26.656592
-150.181837,200,26.811598
-176.131216,200,26.968516
-199.666002,200,27.12373
-154.952816,200,27.278021
-152.025908,200,27.434136
-179.762267,200,27.589862
-165.561936,200,27.710265
-145.055531,200,27.831773
-163.877396,200,27.980897
-173.646129,200,28.143349
-148.663554,200,28.26399
-189.441353,200,28.412773
-152.704413,200,28.581317
-169.403733,200,28.702627
-163.752852,200,28.826582
-155.504057,200,28.954817
-141.801446,200,29.082519
-186.403285,200,29.237713
-147.86213,200,29.396436
-156.671235,200,29.554722
-170.349886,200,29.713711
-207.749086,200,29.872291
-168.392159,200,29.999184
-177.323267,200,30.105219
-183.587568,200,30.216004
-174.673724,200,30.336497
-174.079034,200,30.451003
-168.303285,200,30.56636
-197.500188,200,30.692519
-168.13481,200,30.816706
-156.951714,200,30.932598
-157.743473,200,31.054938
-159.315324,200,31.203777
-158.439284,200,31.323979
-183.497692,200,31.490991
-164.083927,200,31.655988
-151.411696,200,31.802117
-157.301935,200,31.915381
-158.393228,200,32.027798
-159.768904,200,32.173949
-183.184827,200,32.337176
-167.792929,200,32.500445
-163.04673,200,32.639212
-171.822308,200,32.800646
-165.700624,200,32.963159
-176.512521,200,33.123849
-150.769368,200,33.283235
-178.666188,200,33.439427
-173.160313,200,33.595297
-159.778731,200,33.756107
-169.291978,200,33.916645
-156.518986,200,34.063398
-141.892125,200,34.21451
-162.386721,200,34.383198
-159.625375,200,34.508001
-173.355304,200,34.662887
-152.93203,200,34.829919
-161.511653,200,34.991511
-169.906852,200,35.139279
-155.153135,200,35.284091
-154.34151,200,35.448966
-151.266144,200,35.610378
-143.86458,200,35.769085
-159.61293,200,35.899763
-150.321409,200,36.038056
-169.814495,200,36.160901
-183.377307,200,36.304007
-150.803302,200,36.447729
-150.925468,200,36.575877
-153.679595,200,36.723203
-135.998493,200,36.861672
-171.671567,200,37.001517
-158.787034,200,37.138216
-163.720647,200,37.266673
-172.653787,200,37.424232
-171.428676,200,37.600699
-157.816809,200,37.725198
-178.922972,200,37.857329
-171.319732,200,38.016575
-178.505266,200,38.216074
-173.831991,200,38.393537
-169.536724,200,38.552775
-182.306324,200,38.72282
-166.92311,200,38.897946
-172.527671,200,39.071072
-156.852404,200,39.241742
-176.939875,200,39.383688
-164.85275,200,39.531705
-170.443516,200,39.661336
-152.77729,200,39.819151
-181.479827,200,39.983399
-161.949404,200,40.132187
-184.047789,200,40.295511
-156.180446,200,40.453482
-169.091952,200,40.567956
-146.367715,200,40.686691
-141.890603,200,40.819454
-171.585067,200,40.964254
-177.011481,200,41.105154
-150.312477,200,41.232899
-141.870715,200,41.362789
-182.003503,200,41.489611
-191.651624,200,41.6221
-164.497359,200,41.754679
-198.666284,200,41.904106
-157.254138,200,42.075762
-154.150988,200,42.221467
-166.295812,200,42.355282
-179.815749,200,42.485027
-150.253851,200,42.620176
-178.041913,200,42.754831
-187.751246,200,42.871781
-158.892714,200,43.006691
-167.832003,200,43.176884
-173.717258,200,43.364627
-168.678101,200,43.515537
-160.026214,200,43.686158
-143.919939,200,43.855564
-139.342569,200,44.001012
-184.953395,200,44.171767
-156.390095,200,44.313271
-159.07547,200,44.447104
-174.367553,200,44.579159
-180.566459,200,44.713093
-162.070655,200,44.845086
-156.084035,200,44.984618
-153.839316,200,45.134339
-163.851288,200,45.269225
-169.229873,200,45.398833
-153.551609,200,45.524026
-160.60961,200,45.652734
-167.811427,200,45.773651
-156.797857,200,45.917719
-154.394717,200,46.082148
-175.336787,200,46.222302
-151.814493,200,46.358405
-154.520958,200,46.516248
-154.533511,200,46.677387
-163.726343,200,46.839129
-153.100077,200,46.999495
-151.747778,200,47.148246
-156.94983,200,47.284825
-171.711582,200,47.411186
-153.846651,200,47.555692
-159.953049,200,47.676894
-156.591298,200,47.834523
-159.979535,200,48.020266
-138.022345,200,48.149837
-157.970127,200,48.282965
-192.464103,200,48.441363
-181.397797,200,48.583515
-152.783441,200,48.749094
-170.922165,200,48.917599
-152.251976,200,49.093312
-158.115847,200,49.250044
-163.935175,200,49.424745
-174.137903,200,49.582761
-172.357164,200,49.719925
-172.090472,200,49.871861
-170.854473,200,50.023243
-181.16339,200,50.175302
-151.572752,200,50.353451
-162.269149,200,50.534032
-178.534074,200,50.697576
-163.935371,200,50.860586
-159.470819,200,51.023795
-155.543603,200,51.185834
-192.198052,200,51.347165
-157.648109,200,51.511899
-160.489889,200,51.676665
-153.773502,200,51.844808
-161.326557,200,51.974216
-174.138166,200,52.112653
-149.081956,200,52.239593
-194.232609,200,52.378144
-178.98979,200,52.505466
-145.502965,200,52.628143
-146.843611,200,52.755607
-136.429487,200,52.899935
-170.545854,200,53.018637
-150.526978,200,53.142803
-159.936434,200,53.282199
-173.656546,200,53.427392
-180.695975,200,53.624604
-162.942843,200,53.794258
-147.930084,200,53.984302
-163.042589,200,54.158048
-184.99747,200,54.323376
-161.24846,200,54.483983
-181.551889,200,54.635108
-152.750063,200,54.778877
-148.121791,200,54.908236
-170.498267,200,55.039058
-151.568463,200,55.193984
-160.220373,200,55.358878
-165.190363,200,55.52122
-173.94299,200,55.662121
-163.800453,200,55.812213
-169.300701,200,55.968659
-187.172875,200,56.122905
-152.458607,200,56.278288
-154.529215,200,56.437659
-154.455749,200,56.612729
-161.929978,200,56.73483
-186.038304,200,56.858965
-173.541664,200,56.982222
-159.809813,200,57.107831
-158.449607,200,57.243046
-157.621519,200,57.406604
-145.938832,200,57.520777
-141.135825,200,57.656887
-150.730568,200,57.785309
-135.22096,200,57.913919
-162.468867,200,58.075968
-180.194542,200,58.239834
-163.454307,200,58.406435
-176.128407,200,58.559722
-141.820613,200,58.723923
-141.268588,200,58.924851
-152.196566,200,59.092992
-179.334304,200,59.258005
-155.653564,200,59.424591
-172.557267,200,59.585741
-155.311024,200,59.748509
-156.075858,200,59.918505
-148.201181,200,60.059633
-176.616292,200,60.176808
-150.148805,200,60.298279
-157.547507,200,60.426414
-154.240171,200,60.552188
-143.114711,200,60.708599
-146.067067,200,60.84536
-147.370457,200,60.967838
-175.898659,200,61.079735
-142.06912,200,61.205242
-144.073193,200,61.363894
-172.300674,200,61.487937
-144.033162,200,61.644356
-177.976595,200,61.818543
-174.737111,200,62.000435
-157.812487,200,62.124256
-173.016577,200,62.244319
-160.018066,200,62.373583
-156.449056,200,62.489921
-171.86644,200,62.623179
-177.929003,200,62.738283
-213.172448,200,62.876893
-171.455172,200,63.018052
-141.006402,200,63.157114
-156.700296,200,63.320089
-142.129169,200,63.496998
-156.934219,200,63.659029
-165.788857,200,63.777141
-153.585443,200,63.913756
-149.027932,200,64.07768
-155.464134,200,64.243604
-143.824899,200,64.411422
-158.053922,200,64.577276
-167.644257,200,64.742249
-181.273734,200,64.910007
-159.142443,200,65.091352
-146.128955,200,65.261674
-148.835147,200,65.432717
-177.165345,200,65.604511
-147.120689,200,65.780236
-145.814001,200,65.9387
-157.3336,200,66.076913
-164.431822,200,66.249586
-153.164815,200,66.381823
-142.449652,200,66.531067
-135.602811,200,66.710259
-158.02575,200,66.887846
-166.913727,200,67.062485
-165.215411,200,67.226344
-188.266961,200,67.386317
-159.715254,200,67.54835
-137.079612,200,67.710137
-154.281618,200,67.856258
-155.48523,200,67.992677
-156.105902,200,68.1452
-154.321555,200,68.27677
-159.378486,200,68.434055
-174.660525,200,68.605205
-187.968252,200,68.727189
-151.021877,200,68.887358
-155.760109,200,69.011958
-150.127376,200,69.150319
-148.660626,200,69.305434
-161.577167,200,69.459146
-180.586792,200,69.600716
-167.810859,200,69.772204
-135.780419,200,69.953045
-136.419317,200,70.107207
-154.784027,200,70.271901
-150.218904,200,70.399537
-167.774648,200,70.544672
-163.784163,200,70.670875
-148.800203,200,70.838445
-144.440032,200,71.025573
-162.05403,200,71.200328
-141.568233,200,71.379953
-157.81297,200,71.547402
-159.988589,200,71.711156
-163.90179,200,71.882645
-166.907903,200,72.044321
-154.984659,200,72.190837
-177.754977,200,72.358197
-168.190448,200,72.515882
-151.583245,200,72.646379
-163.85211,200,72.766375
-148.884851,200,72.895054
-163.939259,200,73.036462
-162.73996,200,73.196891
-159.966516,200,73.344219
-159.806328,200,73.509581
-161.051508,200,73.685794
-157.023556,200,73.8195
-152.744508,200,73.940568
-158.204824,200,74.057567
-168.752761,200,74.204218
-178.128033,200,74.365059
-163.664265,200,74.493471
-152.017465,200,74.631819
-176.753523,200,74.787095
-156.649801,200,74.941635
-180.277202,200,75.101067
-152.248634,200,75.271575
-201.458257,200,75.440409
-143.511665,200,75.561327
-176.561001,200,75.699362
-144.662709,200,75.842005
-130.992578,200,75.985442
-176.846533,200,76.152226
-173.216674,200,76.284461
-141.918217,200,76.440597
-172.933796,200,76.603075
-155.915082,200,76.774084
-178.41432,200,76.949025
-180.789179,200,77.095558
-174.60374,200,77.226724
-152.554137,200,77.345345
-149.439197,200,77.463132
-160.990782,200,77.588594
-162.327563,200,77.735388
-148.206827,200,77.878757
-153.551721,200,78.027431
-191.131357,200,78.193304
-152.807297,200,78.364852
-150.445774,200,78.531129
-167.689677,200,78.69453
-146.995766,200,78.865016
-152.963369,200,79.023014
-155.032539,200,79.197838
-173.6496,200,79.3315
-161.887912,200,79.497196
-144.486286,200,79.661596
-156.583788,200,79.830531
-143.839058,200,79.998258
-130.951034,200,80.158168
-156.782083,200,80.316814
-148.589088,200,80.478224
-160.295506,200,80.665081
-152.086592,200,80.833712
-145.962107,200,81.018952
-161.914963,200,81.154914
-163.594493,200,81.269031
-167.309783,200,81.395077
-141.189919,200,81.520187
-172.951837,200,81.66805
-171.089057,200,81.790387
-164.008281,200,81.943261
-173.281839,200,82.084125
-150.596276,200,82.210352
-155.499573,200,82.354505
-163.140639,200,82.516741
-149.688393,200,82.694537
-139.096084,200,82.862834
-159.586199,200,83.012273
-158.67101,200,83.145679
-165.895515,200,83.26648
-144.224562,200,83.422342
-171.10046,200,83.567872
-144.90645,200,83.728772
-160.720978,200,83.872756
-180.721708,200,84.015194
-158.472467,200,84.153103
-162.093997,200,84.284423
-170.610354,200,84.429656
-138.707019,200,84.583744
-147.259581,200,84.741241
-195.441023,200,84.874787
-151.995327,200,85.067628
-191.005291,200,85.206889
-172.875179,200,85.349053
-151.643855,200,85.467028
-167.460519,200,85.61688
-174.636104,200,85.756235
-163.931338,200,85.900738
-158.72792,200,86.025232
-174.133849,200,86.186414
-159.473497,200,86.353913
-179.511284,200,86.552165
-161.099149,200,86.719117
-156.705123,200,86.876419
