#{"t_start": 1781107124.3546996, "env_id": "None"}
r,l,t
-233.88538,200,1.037735
-267.604421,200,1.135437
-246.444714,200,1.228303
-245.565816,200,1.352359
-252.153303,200,1.484031
-262.884092,200,1.583315
-282.315556,200,1.67793
-300.257951,200,1.775893
-235.355238,200,1.883874
-229.613429,200,1.990364
-251.161024,200,2.075504
-251.124358,200,2.169015
-216.604061,200,2.269828
-246.639876,200,2.36635
-286.413932,200,2.445354
-242.144315,200,2.534971
-284.69226,200,2.630625
-229.124864,200,2.729289
-294.844215,200,2.82998
-244.405988,200,2.925452
-232.125724,200,3.027792
-268.416488,200,3.135452
-251.702367,200,3.268902
-270.383206,200,3.408352
-248.157356,200,3.561023
-237.267971,200,3.697608
-283.161742,200,3.794972
-281.820014,200,3.892623
-239.085808,200,4.017396
-230.115183,200,4.148812
-283.667174,200,4.256333
-223.034157,200,4.3715
-254.021377,200,4.495513
-208.30283,200,4.629809
-255.126598,200,4.765612
-260.679481,200,4.878924
-285.698059,200,5.024189
-234.563063,200,5.135549
-216.869141,200,5.236416
-302.473933,200,5.323977
-211.100796,200,5.439213
-247.843938,200,5.571126
-245.515288,200,5.689702
-274.926269,200,5.785241
-262.297111,200,5.893313
-238.438486,200,6.030094
-204.494946,200,6.135285
-223.152183,200,6.263802
-241.151984,200,6.383853
-235.08919,200,6.508397
-233.150895,200,6.620524
-209.218561,200,6.719059
-212.13217,200,6.824792
-249.046955,200,6.9289
-229.450259,200,7.034555
-250.63204,200,7.136973
-166.739015,200,7.246981
-238.133558,200,7.36446
-269.401633,200,7.480726
-222.469404,200,7.598414
-203.762042,200,7.703524
-237.250798,200,7.831852
-234.641491,200,7.990958
-224.564164,200,8.14262
-270.856091,200,8.285617
-232.879681,200,8.41542
-211.082299,200,8.555374
-226.521643,200,8.698186
-242.41399,200,8.840194
-248.044256,200,8.962139
-241.314104,200,9.065423
-267.969715,200,9.176282
-229.712199,200,9.274355
-254.580268,200,9.386108
-242.461028,200,9.499472
-217.612751,200,9.602965
-202.231396,200,9.697628
-247.383407,200,9.798041
-215.031842,200,9.903021
-217.261357,200,10.039019
-233.865967,200,10.183512
-202.544143,200,10.296712
-224.240587,200,10.434419
-206.788912,200,10.580463
-183.952494,200,10.718086
-237.545375,200,10.843902
-226.57908,200,10.950897
-278.45788,200,11.042763
-206.886009,200,11.158468
-203.090664,200,11.258622
-209.995482,200,11.347916
-221.572538,200,11.443515
-230.667879,200,11.549331
-218.868587,200,11.671099
-229.727645,200,11.787214
-244.685032,200,11.905869
-219.188685,200,12.043361
-221.905176,200,12.191367
-226.099752,200,12.312821
-219.815604,200,12.438108
-208.208857,200,12.581648
-254.612321,200,12.72553
-230.375909,200,12.872653
-214.9931,200,13.017998
-188.094514,200,13.163404
-239.170138,200,13.310771
-208.535464,200,13.454952
-218.109816,200,13.598954
-215.970232,200,13.745195
-192.040749,200,13.894626
-213.738135,200,14.042728
-230.102669,200,14.190004
-231.350362,200,14.332927
-215.164511,200,14.47886
-223.253244,200,14.622407
-206.684435,200,14.765427
-185.944413,200,14.913011
-197.054809,200,15.074248
-206.748777,200,15.223809
-213.624263,200,15.371073
-185.949297,200,15.522317
-215.557958,200,15.671232
-174.300642,200,15.817622
-210.867148,200,15.943969
-240.761167,200,16.058623
-197.997114,200,16.179688
-221.979701,200,16.272356
-206.449062,200,16.380704
-221.713906,200,16.477807
-189.630897,200,16.587423
-188.730233,200,16.709427
-210.812535,200,16.816304
-273.12444,200,16.964282
-212.694853,200,17.115904
-217.155592,200,17.28141
-189.151072,200,17.431728
-216.8783,200,17.582448
-189.970771,200,17.733779
-215.58124,200,17.883446
-220.731867,200,18.029126
-216.437582,200,18.1801
-241.83655,200,18.331534
-237.509076,200,18.481131
-165.721583,200,18.625606
-205.620265,200,18.770051
-198.007985,200,18.920585
-192.167761,200,19.071932
-179.04266,200,19.226802
-209.452639,200,19.376142
-168.131387,200,19.531152
-207.64468,200,19.682758
-249.365225,200,19.832515
-198.561704,200,19.990516
-213.598111,200,20.124139
-200.517169,200,20.234929
-228.679152,200,20.349502
-213.032212,200,20.469227
-226.152247,200,20.600416
-197.102613,200,20.749859
-180.46054,200,20.906078
-240.837924,200,21.056951
-216.92636,200,21.209529
-219.094977,200,21.359328
-218.177357,200,21.509101
-181.129029,200,21.661405
-223.274912,200,21.815114
-196.787677,200,21.968929
-217.204957,200,22.130483
-191.730659,200,22.304311
-176.654736,200,22.420406
-202.891019,200,22.574262
-190.239333,200,22.717082
-198.749453,200,22.845069
-206.821131,200,22.962233
-213.933561,200,23.079591
-199.480929,200,23.213715
-179.064694,200,23.340763
-206.456179,200,23.457105
-219.332031,200,23.56904
-191.765239,200,23.681302
-156.044313,200,23.796537
-164.027003,200,23.912206
-203.123093,200,24.026876
-204.233395,200,24.146931
-185.08613,200,24.268935
-144.052028,200,24.377854
-171.262286,200,24.555993
-208.957751,200,24.71846
-190.072981,200,24.858099
-163.896322,200,24.993284
-184.566681,200,25.133376
-210.235294,200,25.261638
-158.485865,200,25.392406
-188.54492,200,25.526286
-153.749193,200,25.668197
-168.16532,200,25.824936
-163.251237,200,25.987636
-167.363244,200,26.126167
-200.87149,200,26.25772
-161.04745,200,26.381009
-199.4269,200,26.507906
-179.777799,200,26.633226
-174.563624,200,26.753912
-170.692338,200,26.914505
-191.032436,200,27.080622
-205.585008,200,27.246871
-170.679965,200,27.395576
-157.619063,200,27.544558
-169.162324,200,27.705814
-189.55634,200,27.86891
-173.493527,200,28.035226
-179.644459,200,28.20084
-175.687257,200,28.320387
-201.968779,200,28.436179
-182.600426,200,28.569258
-184.587228,200,28.712118
-162.569019,200,28.838031
-197.409068,200,28.95202
-178.238095,200,29.083079
-176.383022,200,29.209424
-165.47578,200,29.356143
-174.134435,200,29.504945
-147.425835,200,29.61504
-164.345238,200,29.733048
-173.022808,200,29.861315
-165.006297,200,30.006001
-148.986796,200,30.188168
-163.234453,200,30.349105
-147.369622,200,30.512939
-166.402274,200,30.671434
-164.139752,200,30.829782
-176.029,200,31.003601
-175.613267,200,31.176658
-184.706097,200,31.322266
-208.977429,200,31.4542
-193.903038,200,31.564731
-168.855559,200,31.674999
-160.569467,200,31.790516
-171.766457,200,31.943108
-152.160285,200,32.071759
-186.538694,200,32.204298
-184.762404,200,32.328112
-157.8745,200,32.474272
-162.239618,200,32.609848
-188.710643,200,32.782901
-169.047097,200,32.956901
-148.861372,200,33.142161
-136.017603,200,33.302
-187.354843,200,33.443078
-153.075022,200,33.558507
-193.993106,200,33.672264
-141.992329,200,33.796302
-161.563229,200,33.910983
-142.576206,200,34.063918
-147.584386,200,34.228561
-146.794258,200,34.345408
-168.216309,200,34.488535
-171.012668,200,34.65899
-156.194363,200,34.828805
-168.487225,200,35.019083
-157.003549,200,35.206769
-171.625699,200,35.392485
-159.857226,200,35.574383
-147.352613,200,35.701567
-158.915561,200,35.858293
-150.471422,200,35.992419
-160.208567,200,36.123451
-152.981074,200,36.246329
-158.296246,200,36.366962
-153.03455,200,36.50197
-148.604499,200,36.668541
-155.014109,200,36.841596
-158.90788,200,37.010632
-171.667351,200,37.180491
-158.840277,200,37.34577
-184.787752,200,37.50937
-173.493355,200,37.676008
-158.019524,200,37.845881
-142.710415,200,38.011529
-173.477527,200,38.180897
-162.586957,200,38.312582
-166.780599,200,38.452553
-143.165477,200,38.580494
-141.513208,200,38.717461
-161.432559,200,38.899532
-155.587181,200,39.068269
-147.237226,200,39.207897
-154.562095,200,39.349088
-152.862943,200,39.493475
-165.398066,200,39.637559
-155.353077,200,39.782364
-163.54999,200,39.903382
-160.750849,200,40.045228
-153.49013,200,40.168171
-156.114003,200,40.320561
-172.765819,200,40.476095
-171.280278,200,40.635923
-182.35775,200,40.787065
-149.370376,200,40.90502
-174.423149,200,41.032774
-147.291113,200,41.179913
-154.612387,200,41.35015
-158.632821,200,41.492088
-144.798155,200,41.631902
-145.888419,200,41.756178
-136.446509,200,41.892838
-153.710956,200,42.031633
-133.585662,200,42.208943
-169.71794,200,42.355769
-145.228368,200,42.493585
-142.036104,200,42.656918
-150.646431,200,42.790337
-163.446698,200,42.922721
-139.480976,200,43.065405
-146.138691,200,43.214487
-151.645819,200,43.340898
-136.12468,200,43.471476
