#{"t_start": 1781107670.4928603, "env_id": "None"}
r,l,t
-267.682205,200,1.058054
-254.75346,200,1.148638
-257.235635,200,1.228716
-239.823422,200,1.319986
-258.661426,200,1.422585
-266.040173,200,1.531053
-279.052147,200,1.654001
-239.716999,200,1.779413
-270.101846,200,1.907092
-233.332041,200,2.041462
-251.527692,200,2.180654
-270.551566,200,2.308618
-235.301403,200,2.439001
-309.979857,200,2.562313
-240.204315,200,2.693769
-266.302179,200,2.826527
-255.381402,200,2.951231
-246.221735,200,3.085625
-284.360317,200,3.201014
-232.978775,200,3.303228
-240.021401,200,3.410391
-237.715059,200,3.524993
-226.387858,200,3.658225
-252.378512,200,3.805188
-223.255603,200,3.918144
-202.218824,200,4.022758
-267.64389,200,4.14526
-217.847951,200,4.270122
-221.59066,200,4.399052
-239.81184,200,4.531464
-227.127842,200,4.661237
-211.690661,200,4.790787
-216.345104,200,4.927924
-233.783175,200,5.078934
-237.075262,200,5.171808
-267.409819,200,5.274827
-199.107569,200,5.370898
-220.031786,200,5.460648
-221.16319,200,5.549879
-234.059263,200,5.650589
-233.605682,200,5.740618
-211.29508,200,5.83022
-252.240309,200,5.930235
-194.213221,200,6.025212
-220.770932,200,6.11879
-225.829576,200,6.215321
-223.690156,200,6.306128
-228.189305,200,6.393312
-223.124734,200,6.494891
-202.999192,200,6.58477
-212.30729,200,6.681413
-217.442137,200,6.768198
-196.100959,200,6.867438
-202.452966,200,6.967323
-224.215287,200,7.067315
-215.637531,200,7.188022
-194.834289,200,7.323778
-223.738462,200,7.46138
-210.433715,200,7.58498
-197.918476,200,7.687802
-167.3614,200,7.779966
-217.232005,200,7.884598
-226.652599,200,7.979541
-224.548784,200,8.079535
-184.87669,200,8.184348
-217.616086,200,8.328633
-213.968896,200,8.467919
-223.248964,200,8.608762
-201.618093,200,8.746543
-229.346576,200,8.902342
-209.792235,200,9.027632
-211.951062,200,9.146044
-227.097234,200,9.277694
-229.150122,200,9.396685
-222.965171,200,9.532309
-216.266328,200,9.650032
-177.455847,200,9.779829
-206.449066,200,9.932214
-186.344195,200,10.070512
-250.41043,200,10.212434
-210.38306,200,10.35553
-209.887128,200,10.494197
-202.629414,200,10.636504
-197.575656,200,10.781233
-194.341249,200,10.943489
-196.428986,200,11.112417
-217.115952,200,11.255305
-232.626516,200,11.36118
-205.48156,200,11.464457
-205.129275,200,11.568617
-238.210899,200,11.672053
-181.609841,200,11.787184
-213.879973,200,11.914155
-216.08912,200,12.06175
-214.385326,200,12.202864
-204.725574,200,12.346701
-182.405067,200,12.492003
-172.766454,200,12.634603
-250.961117,200,12.761398
-211.913545,200,12.861146
-234.095969,200,12.971748
-198.662387,200,13.134374
-221.932891,200,13.284119
-205.283975,200,13.433262
-185.629565,200,13.58273
-188.651838,200,13.719404
-189.282998,200,13.823097
-172.400193,200,13.95518
