method,cost_mean,cost_std,miss_mean,dataset,dt_cv
"DQN[64,64]",0.620887850063866,0.008235932699132982,9.84,NASA-HTTP Jul'95,1.7089011950006732
Greedy,0.6049441353263026,0.03494445150528427,8.585,NASA-HTTP Jul'95,1.7089011950006732
AlwaysLocal,0.901032246042454,0.023402919933200816,15.62,NASA-HTTP Jul'95,1.7089011950006732
"DQN[64,64]",0.6289789661248946,0.013863593433440837,10.777000000000001,ClarkNet Aug'95,2.014582771346872
Greedy,0.6057972038249154,0.04060070299653677,8.845,ClarkNet Aug'95,2.014582771346872
AlwaysLocal,0.901032246042454,0.023402919933200816,15.62,ClarkNet Aug'95,2.014582771346872
