method,kind,params,size_kb,infer_us,latency_mean,latency_std,energy_mean,energy_std,cost_mean,cost_std,miss_rate_mean,miss_rate_std
AlwaysLocal,heuristic,,,,0.5996915974817729,0.01592459493923294,0.5996915974817729,0.015924594939232945,0.8995373962226593,0.023886892408849406,15.695,2.4902790805429618
AlwaysEdge,heuristic,,,,1.1408722258883364,0.13690875818057238,0.4766370748629351,0.06834533840072422,1.0470731878071031,0.1367617347218826,41.45,6.30956464905512
Random,heuristic,,,,0.9482632414126076,0.10693246594475114,0.5119479804892964,0.053875790776338875,0.9860796011956003,0.1072775987374161,31.95,4.7950416309375505
Greedy,heuristic,,,,0.5258721102546388,0.020829431894052515,0.34404471989237606,0.029837917004545488,0.6069807750196954,0.03903436580603034,8.945,2.024964147331947
DQN[256x256],drl,136710,1093.2,159.41,0.538346464480226,0.02291585760128878,0.3476047498984046,0.004893230475255019,0.6167779821385176,0.008250439614125521,9.645999999999999,0.7549370834711987
DQN[64x64],drl,9606,100.2,133.83,0.5281065149400685,0.006980569403051157,0.3527010820447861,0.003275363535251143,0.6167543395148204,0.00417849157556434,9.861,0.4378555697944245
DQN[16x16],drl,870,31.9,145.5,0.5317787123238132,0.008887273214880566,0.35224082330127787,0.00857931951004363,0.6181301794631845,0.006268046666260601,11.02,0.556012589785519
PPO[64x64],drl,9476,141.3,267.5,0.512445863729794,0.006758478590370551,0.38381538528593945,0.012339933111789906,0.6400383171508364,0.013786227653663613,9.336,0.3284889648070391
