method,cost_mean,cost_std
"DQN[64,64]",0.714382730064337,0.005634930531325828
Greedy,0.7091089423656457,0.06858639584109251
AlwaysLocal,1.2575378220320914,0.03978946222529005
AlwaysEdge,1.2813875389420992,0.20463374019782166
Random,1.2557959721094298,0.16108141395235062
