method,cost_mean,cost_std
"DQN[64,64]",0.6245779588917143,0.005159114327997671
Greedy,0.6167549308489274,0.03680089481546327
AlwaysLocal,0.8995373962226593,0.023886892408849406
AlwaysEdge,1.0470731878071031,0.1367617347218826
Random,0.9153563401031927,0.0920599847838516
