method,cost_mean,cost_std
"DQN[64,64]",0.6647437975304313,0.011705198764052745
Greedy,0.6584486513115797,0.031534217938466315
AlwaysLocal,0.9012145511733203,0.02709086213467534
AlwaysEdge,1.143904878046726,0.11896709504815729
Random,0.9238019304978679,0.06671133578375453
