env_seed,variant,latency,energy,cost,miss_rate
1000,Greedy-ref,0.51756201697232,0.2978513063675921,0.5566323148537521,10.5
1001,Greedy-ref,0.5217951332771956,0.33725706260003446,0.5981546292386324,6.5
1002,Greedy-ref,0.5080813573939412,0.329811193146211,0.5838518718431815,10.0
1003,Greedy-ref,0.5266292860959659,0.37703650602092365,0.6403511490689067,8.5
1004,Greedy-ref,0.5515540559086687,0.359148555347979,0.6349255833023133,11.5
1005,Greedy-ref,0.500192774470128,0.3112168060943375,0.5613131933294015,8.0
1006,Greedy-ref,0.5123561253631421,0.3034149701131398,0.5595930327947108,8.0
1007,Greedy-ref,0.5341854790096804,0.33190677700040383,0.598999516505244,8.5
1008,Greedy-ref,0.525088945236377,0.369858372551341,0.6324028451695295,10.5
1009,Greedy-ref,0.5239217811231355,0.3470939130354911,0.6090548035970588,9.5
1010,Greedy-ref,0.5478972309089278,0.3967599476507357,0.6707085631051996,11.5
1011,Greedy-ref,0.49329645660626453,0.2966578998843695,0.5433061281875018,6.5
1012,Greedy-ref,0.48597498949117907,0.277261870992561,0.5202493657381505,10.5
1013,Greedy-ref,0.5228226046189122,0.35792045487668217,0.6193317571861383,10.0
1014,Greedy-ref,0.526278683371224,0.36030143190969577,0.6234407735953077,8.5
1015,Greedy-ref,0.5293611085355215,0.3237253240364377,0.5884058783041985,7.5
1016,Greedy-ref,0.5352936154393029,0.3734852708789085,0.64113207859856,9.5
1017,Greedy-ref,0.5185505257110036,0.3516413049194933,0.610916567774995,11.0
1018,Greedy-ref,0.4749711298244398,0.29011416907919296,0.5275997339914129,8.0
1019,Greedy-ref,0.5015291121002712,0.3419670254515139,0.5927315815016495,6.5
1000,P1,0.8654541847513303,0.3438406995377889,0.776567791913454,34.0
1001,P1,1.1025861698555597,0.45754969879955,1.0088427837273297,41.0
1002,P1,1.1245998076569848,0.47524909777335794,1.0375490016018503,38.0
1003,P1,1.2941269481171338,0.5508839684678738,1.1979474425264405,46.0
1004,P1,1.2482335022099316,0.5326371056743879,1.1567538567793536,44.0
1005,P1,0.9456110364172514,0.3819590637807451,0.8547645819893707,35.0
1006,P1,0.9551156354623609,0.38984606473011674,0.8674038824612973,32.0
1007,P1,1.1061929069665846,0.46238956155229405,1.0154860150355864,40.0
1008,P1,1.3189846843555204,0.5730850924907116,1.232577434668472,47.0
1009,P1,1.1688772428010732,0.49556390545765483,1.0800025268581916,46.5
1010,P1,1.302591754130694,0.5593072141865004,1.2106030912518475,50.0
1011,P1,0.9556702024826389,0.3847943630307922,0.8626294642721116,36.0
1012,P1,0.9140907928957435,0.36685291276289456,0.8238983092107662,31.5
1013,P1,1.2696841345637828,0.5525597706155849,1.1874018378974762,45.0
1014,P1,1.3297110130085634,0.5779305179944125,1.2427860244986944,47.5
1015,P1,1.0439357120148014,0.4329321092417516,0.9548999652491523,37.0
1016,P1,1.1926528396928804,0.5076906763832365,1.1040170962296765,45.0
1017,P1,1.2076122247454872,0.5127821788809307,1.1165882912536744,39.5
1018,P1,0.939858638476672,0.3814141684348061,0.851343487673142,31.0
1019,P1,1.1463699400713419,0.48704347401893827,1.0602284440546093,39.0
1000,P2,0.8431883388769664,0.3438406995377889,0.7654348689762722,32.5
1001,P2,1.0798244103926322,0.45754969879955,0.9974619039958661,39.5
1002,P2,1.1090936246953158,0.47524909777335794,1.029795910121016,38.0
1003,P2,1.278339699964727,0.5508839684678738,1.1900538184502372,45.0
1004,P2,1.2317017780830293,0.5326371056743879,1.1484879947159028,43.5
1005,P2,0.9238542616879605,0.3819590637807451,0.8438861946247254,32.5
1006,P2,0.9443971318047423,0.38984606473011674,0.8620446306324879,30.5
1007,P2,1.0843012355834616,0.46238956155229405,1.004540179344025,38.0
1008,P2,1.3057997149328748,0.5730850924907116,1.225984949957149,47.0
1009,P2,1.152710899240149,0.49556390545765483,1.0719193550777293,44.5
1010,P2,1.2835714256782964,0.5593072141865004,1.2010929270256485,48.5
1011,P2,0.9364328624399691,0.3847943630307922,0.8530107942507767,34.0
1012,P2,0.8970182250742564,0.36685291276289456,0.8153620253000229,31.0
1013,P2,1.2571074107269444,0.5523920707488039,1.180945776112276,44.0
1014,P2,1.3187042559191684,0.5779305179944125,1.2372826459539967,47.0
1015,P2,1.0280949141346571,0.43680409831734396,0.9508515553846726,36.0
1016,P2,1.1739318368761358,0.5076906763832365,1.0946565948213043,43.0
1017,P2,1.1938197027762234,0.5143451897223862,1.1112550411104978,39.5
1018,P2,0.9156668983677634,0.38772682333293046,0.845560272516812,28.499999999999996
1019,P2,1.1352907552633469,0.4918582988171638,1.0595036764488373,38.5
