#{"t_start": 1781160173.411824, "env_id": "None"}
r,l,t
-282.751876,200,0.037555
-323.980702,200,0.094868
-303.097508,200,0.153001
-290.250132,200,0.210819
-281.74591,200,0.26865
-283.960269,200,0.326568
-339.497252,200,0.38422
-364.607976,200,0.442474
-280.775467,200,0.500437
-261.921333,200,0.559142
-307.766854,200,0.617301
-314.013214,200,0.677026
-275.05791,200,0.739083
-283.693897,200,0.800758
-336.723042,200,0.862553
-317.395357,200,0.924023
-309.621696,200,0.985928
-258.965771,200,1.047851
-375.127503,200,1.107163
-306.3699,200,1.167708
-280.854063,200,1.230113
-306.200198,200,1.292121
-310.828261,200,1.355045
-290.193375,200,1.416461
-313.627369,200,1.477131
-276.632068,200,1.537031
-324.81718,200,1.597092
-341.381721,200,1.656586
-269.344073,200,1.717391
-273.138088,200,1.778474
-319.174569,200,1.838773
-270.037559,200,1.899857
-344.798921,200,1.967978
-279.400179,200,2.03083
-327.917107,200,2.093395
-317.29381,200,2.156281
-345.398864,200,2.218842
-312.190675,200,2.280179
-269.635768,200,2.342631
-374.47777,200,2.403231
-262.431205,200,2.464697
-275.398658,200,2.526152
-290.282836,200,2.589129
-339.218613,200,2.650397
-313.959809,200,2.712141
-287.340573,200,2.774928
-249.202945,200,2.838108
-290.347821,200,2.90318
-300.584969,200,2.964838
-266.588,200,3.026207
-270.733887,200,3.08932
-245.254908,200,3.152537
-265.534191,200,3.215105
-272.944056,200,3.278206
-296.237007,200,3.340895
-301.127627,200,3.407218
-180.13249,200,3.470829
-303.493149,200,3.533989
-313.011024,200,3.596757
-250.54971,200,3.662558
-239.29148,200,3.7259
-274.275498,200,3.789318
-270.677863,200,3.853517
-260.946094,200,3.918439
-321.479989,200,3.982975
-247.857968,200,4.048221
-266.567745,200,4.112509
-269.086979,200,4.177638
-265.15278,200,4.24497
-296.941619,200,4.311347
-285.467704,200,4.379434
-333.255763,200,4.444224
-268.165961,200,4.510598
-298.668371,200,4.577514
-313.64668,200,4.641752
-261.40881,200,4.706844
-250.663191,200,4.772158
-271.923319,200,4.84743
-262.832024,200,4.92167
-249.914804,200,4.995732
-276.571119,200,5.072582
-223.04512,200,5.148186
-259.669958,200,5.221218
-254.380859,200,5.2963
-237.124074,200,5.370696
-275.887829,200,5.446347
-293.238289,200,5.521773
-345.656928,200,5.597477
-243.168327,200,5.674437
-257.285482,200,5.751091
-243.054662,200,5.826004
-269.899453,200,5.902266
-287.876495,200,5.979317
-256.757954,200,6.056093
-262.987601,200,6.135065
-321.146064,200,6.214957
-250.061834,200,6.292929
-250.982915,200,6.373058
-267.304119,200,6.451119
-245.9572,200,6.526712
-254.561819,200,6.605659
-276.424071,200,6.682177
-270.487006,200,6.756526
-239.589365,200,6.828324
-214.400775,200,6.897841
-267.449176,200,6.967788
-241.870744,200,7.03716
-268.70277,200,7.103295
-215.019105,200,7.17121
-215.212276,200,7.239912
-254.159036,200,7.309369
-272.840638,200,7.378735
-270.678222,200,7.448368
-250.048214,200,7.518678
-251.466192,200,7.588634
-246.81179,200,7.657797
-216.848135,200,7.729081
-224.863217,200,7.800297
-247.763355,200,7.869606
-241.237234,200,7.940164
-215.618129,200,8.010928
-263.971019,200,8.081753
-204.51318,200,8.154214
-234.143506,200,8.22475
-268.183845,200,8.295798
-235.421715,200,8.366577
-239.00267,200,8.437642
-236.325817,200,8.508585
-295.216951,200,8.580476
-225.888704,200,8.65117
-242.851295,200,8.720117
-249.983568,200,8.788391
-327.210442,200,8.856682
-242.691338,200,8.925977
-261.405737,200,8.996479
-234.664029,200,9.0643
-267.651645,200,9.13318
-211.843636,200,9.203312
-253.84517,200,9.273739
-235.254572,200,9.342572
-261.169612,200,9.412534
-263.480069,200,9.483149
-279.366842,200,9.553418
-212.921768,200,9.623494
-220.325517,200,9.693401
-231.800673,200,9.764635
-231.24253,200,9.838694
-193.472837,200,9.910475
-219.804249,200,9.980598
-193.855328,200,10.052882
-249.653293,200,10.124755
-282.487979,200,10.195462
-208.254946,200,10.264908
-247.145091,200,10.336489
-226.096322,200,10.408607
-240.961304,200,10.479561
-236.510688,200,10.551135
-250.028159,200,10.621772
-231.063542,200,10.693603
-192.354409,200,10.764923
-271.38798,200,10.837326
-253.43098,200,10.908759
-247.506058,200,10.980464
-234.256732,200,11.052385
-186.280317,200,11.125695
-222.593934,200,11.198315
-230.008126,200,11.269744
-249.959382,200,11.342368
-215.659252,200,11.414047
-189.528821,200,11.487295
-256.557454,200,11.561304
-209.565892,200,11.632724
-211.634093,200,11.706653
-254.411897,200,11.778675
-226.918472,200,11.85162
-211.043625,200,11.936239
-192.808269,200,12.021858
-238.623946,200,12.108421
-237.010914,200,12.191867
-220.772508,200,12.274297
-174.423277,200,12.35839
-186.910255,200,12.441092
-224.462964,200,12.524564
-216.307751,200,12.608553
-210.546619,200,12.692378
-156.733529,200,12.776991
-196.028757,200,12.861182
-256.807743,200,12.944584
-222.370254,200,13.028896
-178.461262,200,13.112847
-183.525649,200,13.196218
-231.565827,200,13.281333
-176.1678,200,13.36593
-210.540832,200,13.452833
-166.54223,200,13.541678
-180.180145,200,13.630079
-168.929808,200,13.713544
-178.448917,200,13.797446
-229.940283,200,13.876777
-183.100414,200,13.954346
-201.102009,200,14.030845
-193.907353,200,14.108747
-197.632077,200,14.187811
-204.350501,200,14.264392
-218.203212,200,14.339123
