#{"t_start": 1781160373.9400866, "env_id": "None"}
r,l,t
-287.179395,200,0.037464
-289.698516,200,0.094977
-344.461057,200,0.152382
-327.584919,200,0.209589
-290.051508,200,0.267779
-270.376688,200,0.328197
-340.443899,200,0.388677
-334.842794,200,0.449998
-353.284729,200,0.509517
-374.833713,200,0.567044
-324.458395,200,0.625092
-357.416713,200,0.683199
-349.423833,200,0.741051
-323.377366,200,0.798928
-251.703794,200,0.857443
-319.036255,200,0.925298
-376.667111,200,0.993389
-281.992553,200,1.062404
-272.752442,200,1.134244
-295.349822,200,1.204753
-318.570917,200,1.272253
-270.068744,200,1.338444
-301.694997,200,1.401664
-270.805847,200,1.464202
-268.558023,200,1.526605
-294.648597,200,1.587332
-314.350801,200,1.648136
-345.919734,200,1.708066
-273.428186,200,1.769423
-285.288141,200,1.829322
-306.465021,200,1.889956
-294.539124,200,1.951384
-331.138588,200,2.012994
-323.002871,200,2.074995
-355.683513,200,2.143711
-302.952044,200,2.213326
-289.226247,200,2.284096
-272.934709,200,2.353864
-234.85183,200,2.423239
-347.593439,200,2.498774
-287.317244,200,2.577442
-277.710029,200,2.647726
-227.918204,200,2.718884
-263.418255,200,2.78934
-319.260184,200,2.859379
-232.438772,200,2.931643
-263.91105,200,3.003066
-290.759312,200,3.076163
-298.507107,200,3.147782
-314.861925,200,3.218269
-290.928894,200,3.289495
-260.514439,200,3.360443
-300.767568,200,3.433264
-246.798351,200,3.505105
-337.201307,200,3.577207
-278.18121,200,3.651092
-383.208767,200,3.724713
-248.845335,200,3.798142
-255.527688,200,3.867547
-266.916442,200,3.93535
-283.093485,200,4.001718
-267.733227,200,4.06543
-275.390774,200,4.129756
-273.935353,200,4.19362
-272.020052,200,4.259301
-307.499121,200,4.327818
-293.991016,200,4.389992
-309.964294,200,4.455182
-302.659907,200,4.519134
-249.698389,200,4.582381
-276.432304,200,4.646708
-254.121617,200,4.710745
-317.395323,200,4.773591
-348.640167,200,4.837084
-257.396522,200,4.903084
-339.532423,200,4.970229
-279.262248,200,5.036088
-272.08796,200,5.100666
-244.716687,200,5.165545
-267.081876,200,5.228742
-296.119257,200,5.294414
-297.432786,200,5.358537
-244.161426,200,5.422548
-255.578609,200,5.487395
-273.902417,200,5.551706
-263.93389,200,5.618576
-266.09897,200,5.684788
-242.696792,200,5.750885
-218.549073,200,5.816952
-237.841358,200,5.882567
-312.477118,200,5.94804
-271.838153,200,6.013443
-253.660995,200,6.080304
-237.656141,200,6.146065
-257.653347,200,6.211927
-251.691028,200,6.278361
-293.00724,200,6.344792
-211.359939,200,6.411469
-294.63411,200,6.478182
-267.974174,200,6.547604
-221.011941,200,6.616308
-205.91591,200,6.685125
-271.846063,200,6.752795
-269.572369,200,6.819781
-232.098197,200,6.894572
-178.103101,200,6.974097
-227.040662,200,7.040692
-228.724351,200,7.108433
-262.380636,200,7.176899
-250.101072,200,7.244345
-250.92685,200,7.312414
-248.444815,200,7.38009
-282.670122,200,7.448115
-279.093706,200,7.516833
-229.347957,200,7.585482
-284.429151,200,7.651312
-262.288197,200,7.717338
-231.537365,200,7.787194
-223.071985,200,7.856326
-274.699475,200,7.924209
-210.762846,200,7.991872
-238.119372,200,8.059809
-263.165697,200,8.127038
-271.903372,200,8.194676
-224.722643,200,8.262994
-229.092136,200,8.331761
-203.811376,200,8.40075
-215.443059,200,8.469797
-228.73748,200,8.539411
-232.245984,200,8.608248
-207.441745,200,8.677881
-192.28486,200,8.748364
-220.108706,200,8.818573
-228.178327,200,8.887588
-263.117989,200,8.95681
-248.51626,200,9.026628
-205.801422,200,9.095423
-199.137722,200,9.165276
-257.671553,200,9.234725
-196.706644,200,9.305069
-240.346997,200,9.376131
-234.291826,200,9.447326
-212.39377,200,9.51788
-204.237324,200,9.587564
-245.134915,200,9.658905
-210.384564,200,9.729818
-270.033731,200,9.799944
-244.372582,200,9.870317
-223.63152,200,9.939416
-233.526787,200,10.010245
-237.208689,200,10.081499
-211.539811,200,10.152314
-226.784763,200,10.223927
-191.229474,200,10.294873
-226.537526,200,10.366616
-224.707268,200,10.439514
-220.445243,200,10.510851
-236.067341,200,10.582549
-212.849735,200,10.654418
-203.474339,200,10.72652
-233.910072,200,10.798908
-215.068578,200,10.871448
-219.8397,200,10.944062
