#{"t_start": 1781160273.5785437, "env_id": "None"}
r,l,t
-293.265374,200,0.037585
-378.633527,200,0.095422
-281.05936,200,0.15323
-285.639811,200,0.211188
-321.858508,200,0.269186
-316.472092,200,0.327592
-379.263875,200,0.385736
-278.847347,200,0.443545
-267.173953,200,0.502468
-307.818436,200,0.560717
-295.753692,200,0.619876
-266.093309,200,0.678724
-386.254928,200,0.737997
-270.053966,200,0.797209
-242.119791,200,0.85622
-279.552326,200,0.915371
-265.608706,200,0.974747
-311.435554,200,1.034583
-299.327149,200,1.093711
-291.538125,200,1.153877
-258.884416,200,1.214928
-291.501032,200,1.274881
-295.89962,200,1.335156
-275.092736,200,1.395561
-238.914011,200,1.455969
-291.478288,200,1.516008
-271.555116,200,1.576534
-297.531467,200,1.638738
-285.614413,200,1.69997
-293.326594,200,1.761096
-300.404457,200,1.821735
-330.590024,200,1.882883
-282.528096,200,1.94587
-282.752514,200,2.006859
-334.372953,200,2.068071
-260.999934,200,2.130002
-249.421755,200,2.193714
-377.165617,200,2.257627
-273.550722,200,2.31994
-257.240949,200,2.381252
-304.01993,200,2.443425
-245.239168,200,2.504875
-316.32936,200,2.567329
-261.857829,200,2.628766
-286.256859,200,2.692891
-241.985535,200,2.755308
-270.1588,200,2.818266
-270.403229,200,2.880453
-276.158899,200,2.94297
-264.331585,200,3.005829
-272.98343,200,3.070651
-271.945734,200,3.134845
-283.983398,200,3.200452
-234.539486,200,3.263888
-294.408467,200,3.327091
-263.951271,200,3.389592
-247.288629,200,3.452489
-363.557515,200,3.517012
-297.008491,200,3.580486
-333.936371,200,3.644263
-285.381069,200,3.708174
-268.360209,200,3.772536
-282.802091,200,3.83631
-274.149261,200,3.902901
-213.536954,200,3.968003
-276.015303,200,4.032611
-230.610782,200,4.0995
-306.491938,200,4.164435
-266.832605,200,4.23106
-302.1549,200,4.295564
-277.645538,200,4.362562
-258.6112,200,4.429996
-269.389121,200,4.495538
-230.213012,200,4.561223
-234.730257,200,4.628323
-285.361911,200,4.694018
-272.214215,200,4.761729
-284.122773,200,4.826204
-259.250347,200,4.89352
-299.154141,200,4.961967
-298.4599,200,5.028688
-261.363183,200,5.09673
-204.829963,200,5.162694
-270.217437,200,5.229541
-283.891484,200,5.297402
-254.526175,200,5.365081
-264.202382,200,5.431988
-276.955459,200,5.50823
-275.320079,200,5.583086
-208.710127,200,5.660593
-239.225611,200,5.737805
-251.333347,200,5.814682
-229.699552,200,5.891295
-245.407649,200,5.969849
-244.619865,200,6.046417
-246.674857,200,6.123795
-234.975246,200,6.1989
-237.494661,200,6.277272
-257.543317,200,6.353329
-233.490726,200,6.429857
-277.441389,200,6.507894
-223.809337,200,6.583645
-225.58881,200,6.656805
-204.917454,200,6.727896
-238.31144,200,6.796659
-257.671311,200,6.864149
-257.428131,200,6.930248
-247.1322,200,6.99767
-252.098895,200,7.065073
-261.812756,200,7.131326
-278.216738,200,7.199619
-269.901132,200,7.270829
-198.423673,200,7.339282
-285.652479,200,7.416559
-196.25317,200,7.493871
-270.325861,200,7.578715
-237.877331,200,7.661852
-249.873166,200,7.74171
-242.244036,200,7.82175
-198.567967,200,7.899764
-293.997096,200,7.978669
-225.353487,200,8.057637
-215.984213,200,8.136077
-287.010231,200,8.216205
-244.954228,200,8.296363
-281.651309,200,8.375298
-237.306772,200,8.455353
-258.258024,200,8.536148
-216.628729,200,8.615273
-206.904908,200,8.695917
-248.999333,200,8.776497
-299.462228,200,8.854711
-282.159471,200,8.934941
-224.893837,200,9.016703
-247.760815,200,9.097496
-254.224724,200,9.175913
-215.353629,200,9.249207
-207.663074,200,9.31954
-244.386935,200,9.390018
-219.125765,200,9.459022
-263.028826,200,9.529155
-220.858949,200,9.599709
-191.524378,200,9.673781
-221.051664,200,9.757507
-248.296966,200,9.834502
-188.893283,200,9.906353
-239.080612,200,9.977143
-248.118317,200,10.047127
-214.128923,200,10.117747
-220.489154,200,10.190566
-192.126769,200,10.263065
-220.220342,200,10.335443
-200.823843,200,10.408608
-227.739495,200,10.480967
-283.931599,200,10.553441
-240.747949,200,10.626598
-237.263727,200,10.698662
-210.353868,200,10.775283
-210.048296,200,10.855793
-228.998575,200,10.933008
-240.243537,200,11.015227
-247.013516,200,11.09181
-227.036297,200,11.179495
-213.280317,200,11.26307
-205.995542,200,11.345357
-221.205444,200,11.425426
-200.970434,200,11.512317
-206.904849,200,11.605402
-229.466117,200,11.696215
-238.271435,200,11.771346
-208.21874,200,11.846689
-263.952203,200,11.920549
-250.937171,200,11.999222
-194.301614,200,12.07495
-206.448044,200,12.148048
-241.850957,200,12.228114
-183.326145,200,12.306076
-215.790771,200,12.382314
-221.231301,200,12.459368
-218.001635,200,12.535547
-198.660576,200,12.614865
-196.709524,200,12.691887
-222.238853,200,12.76727
-222.357276,200,12.843118
-176.451159,200,12.919599
-229.529291,200,12.994869
-179.125192,200,13.070875
-176.993491,200,13.146349
-163.24964,200,13.223916
-165.913042,200,13.300029
-249.335302,200,13.375858
-181.564684,200,13.452403
-179.831121,200,13.531556
-196.657644,200,13.609728
-194.122928,200,13.689114
-157.348537,200,13.768467
-190.411879,200,13.843945
-177.566214,200,13.923045
-197.157816,200,14.003184
-235.086962,200,14.085272
-192.408097,200,14.165165
-199.285074,200,14.244673
-188.489325,200,14.323774
-218.325472,200,14.402235
-168.84408,200,14.481588
-197.084242,200,14.561132
-187.605043,200,14.63955
-200.156259,200,14.718668
-196.877713,200,14.797579
-192.951142,200,14.875527
-161.654748,200,14.955074
-165.880276,200,15.03477
-168.503549,200,15.113204
-215.806098,200,15.191897
-183.063467,200,15.270083
-167.163514,200,15.347507
-195.416405,200,15.423859
-182.045413,200,15.499362
-180.70992,200,15.575725
-146.381835,200,15.652975
-164.510216,200,15.732182
-167.203771,200,15.811986
-168.29001,200,15.892142
-164.948226,200,15.972195
-187.628121,200,16.052393
-184.512969,200,16.132556
-210.375068,200,16.213529
-156.67449,200,16.293788
-163.735065,200,16.373952
-167.286889,200,16.452968
-200.704555,200,16.532474
-159.919924,200,16.612462
-173.763659,200,16.693319
-166.422102,200,16.773407
-159.233022,200,16.853477
-169.924273,200,16.934073
-199.819473,200,17.01365
-207.519129,200,17.093671
-179.83989,200,17.173708
-186.745076,200,17.267953
-147.546122,200,17.35536
-188.859901,200,17.432984
-185.147136,200,17.510563
-189.130339,200,17.588797
-183.954448,200,17.667568
-167.938898,200,17.748705
-164.552517,200,17.829217
-184.444547,200,17.911145
-160.026345,200,17.992828
-168.488999,200,18.074113
-181.240379,200,18.154292
-163.618641,200,18.233377
-158.884631,200,18.312864
-174.76852,200,18.393943
-182.455155,200,18.478255
-153.514308,200,18.556707
-181.493905,200,18.634924
-177.444528,200,18.717753
-168.639273,200,18.798816
-137.626794,200,18.880312
-176.893699,200,18.962062
-172.372777,200,19.045023
-160.469023,200,19.127544
-167.230595,200,19.209395
-189.516214,200,19.291412
-161.664831,200,19.373179
-161.937134,200,19.454615
-161.975466,200,19.534532
-166.399007,200,19.612676
-196.44148,200,19.692737
-218.197384,200,19.773493
-151.429351,200,19.855233
-186.017125,200,19.936796
-181.21913,200,20.018075
-180.830318,200,20.099377
-195.631017,200,20.18079
-172.860867,200,20.259202
-184.935776,200,20.338015
-189.215776,200,20.419197
-189.831642,200,20.500702
-170.143217,200,20.582152
-153.378986,200,20.663056
-172.461743,200,20.742133
-159.609611,200,20.823541
-152.704079,200,20.902506
-185.975003,200,20.983612
-167.740074,200,21.065591
-192.543585,200,21.146932
-158.079837,200,21.231225
-165.626911,200,21.312501
-176.024084,200,21.393196
-175.783938,200,21.474399
-178.953481,200,21.55311
