#{"t_start": 1781198415.265506, "env_id": "None"}
r,l,t
-221.958669,200,0.040232
-241.87739,200,0.102109
-228.830908,200,0.164229
-222.117868,200,0.22704
-245.943596,200,0.288911
-253.520715,200,0.351269
-259.651484,200,0.413114
-277.906657,200,0.475417
-225.303162,200,0.537464
-214.686601,200,0.59989
-229.108902,200,0.662181
-244.814743,200,0.724448
-209.762458,200,0.788546
-231.999301,200,0.851438
-232.99606,200,0.914693
-235.401024,200,0.977551
-259.878184,200,1.04173
-214.947474,200,1.104553
-272.717098,200,1.166721
-231.90223,200,1.228664
-225.45398,200,1.292074
-255.550193,200,1.355606
-224.972222,200,1.420695
-253.263786,200,1.484765
-233.2113,200,1.548689
-223.725714,200,1.61275
-250.718786,200,1.676933
-244.701872,200,1.741004
-210.262713,200,1.805994
-213.975201,200,1.8711
-265.7339,200,1.935548
-214.666875,200,2.000412
-236.624838,200,2.066394
-200.912225,200,2.130047
-231.658225,200,2.194246
-233.046825,200,2.258218
-261.348198,200,2.321458
-229.259053,200,2.385789
-207.685246,200,2.450831
-279.392249,200,2.515221
-206.047695,200,2.580246
-224.436741,200,2.645652
-231.731402,200,2.713789
-247.886983,200,2.779001
-251.741401,200,2.84632
-211.45626,200,2.921714
-197.042109,200,2.987744
-213.750233,200,3.055807
-224.644654,200,3.123264
-224.024705,200,3.189136
-211.172064,200,3.257002
-206.366875,200,3.325157
-192.952741,200,3.392541
-227.696831,200,3.461951
-221.482492,200,3.530117
-240.838668,200,3.598809
-161.491444,200,3.668089
-222.255163,200,3.736028
-231.111395,200,3.804323
-214.414279,200,3.873528
-203.130438,200,3.941154
-226.583416,200,4.009093
-225.456337,200,4.076645
-204.296031,200,4.145644
-241.225243,200,4.214448
-216.719005,200,4.284615
-207.123473,200,4.352954
-223.730573,200,4.421363
-232.604973,200,4.490776
-233.208719,200,4.559891
-219.51141,200,4.627616
-256.955933,200,4.69468
-217.232263,200,4.763236
-228.484549,200,4.832141
-239.512474,200,4.8996
-207.103779,200,4.968591
-195.861445,200,5.036614
-238.954573,200,5.105608
-204.077732,200,5.173302
-206.605835,200,5.241165
-222.576259,200,5.30837
-196.855969,200,5.376565
-211.129188,200,5.444332
-205.075094,200,5.517313
-164.46135,200,5.595839
-230.364682,200,5.679594
-203.638256,200,5.751186
-254.22052,200,5.83075
-189.56593,200,5.910192
-199.788879,200,5.989613
-194.854747,200,6.069299
-208.138969,200,6.141271
-210.528142,200,6.211334
-209.516195,200,6.280941
-225.692882,200,6.349945
-238.856391,200,6.420504
-206.809104,200,6.489981
-203.355428,200,6.562867
-199.845847,200,6.635448
-203.742142,200,6.705896
-191.417109,200,6.778315
-234.829741,200,6.849254
-221.188538,200,6.922107
-210.076812,200,6.993453
-186.616933,200,7.063626
-224.043622,200,7.134818
-194.3843,200,7.205703
-216.028507,200,7.27507
-200.975617,200,7.347184
-189.602646,200,7.418596
-199.801994,200,7.489036
-224.068852,200,7.559377
-232.780722,200,7.630875
-185.896273,200,7.703849
-218.127009,200,7.776618
-190.391909,200,7.848052
-182.279714,200,7.922698
-190.630082,200,7.995779
-200.10247,200,8.068323
-202.048405,200,8.139975
-173.62066,200,8.212655
-215.991641,200,8.285771
-171.521104,200,8.361163
-202.746949,200,8.433247
-222.656273,200,8.506871
-196.130171,200,8.579954
-211.977646,200,8.652698
-204.31993,200,8.730217
-213.529794,200,8.814997
-182.676362,200,8.89514
-190.062317,200,8.971597
-195.273968,200,9.045849
-251.979922,200,9.11882
